company_name,_name_key,country,region_bucket,revenue_eur_latest,ebitda_eur_latest,revenue_year,employees,industry_code,ownership_status,inactive,business_model_tags,ai_fde_match_prior,description,source,stage_status
ISO PUBLIC SERVICES GMBH,iso public services gmbh,DE,DACH,99900000.0,5100000.0,,164,6201,Unknown,False,,True,"ISO Public Services GmbH, a member of the ISO-Gruppe, is a highly capable custom software development and IT consulting firm focusing on the German public sector. Operating under NACE 6201, the company possesses the deep engineering talent required to build complex enterprise architectures and modern digital platforms. Given the public sector's growing demand for secure, sovereign AI pipelines and specialized RAG implementations, ISO Public Services represents a high-potential candidate capable of scaling forward-deployed AI engineering services.",Orbis Screened,raw
MUTUAL IT,mutual it,BE,Benelux,97000000.0,2200000.0,,377,6201,Unknown,False,,True,"MUTUAL IT is a Belgian IT consulting and custom software development firm (NACE 6201) specializing in digital transformation, cloud architecture, and bespoke software engineering. The company possesses the advanced technical talent and enterprise delivery experience necessary to scale custom AI pipelines and RAG systems, qualifying them as a High Potential target. They do not fall under any exclusion criteria such as basic staffing or simple web design.",Orbis Screened,raw
BTC IT SERVICES GMBH,btc it services gmbh,DE,DACH,95700000.0,9300000.0,,538,6209,Unknown,False,,True,"BTC IT Services GmbH (part of the BTC Group) is a highly capable German IT consulting and systems integration firm with deep expertise in cloud architectures, data analytics, and enterprise software. They serve complex, highly-regulated industries like utilities and the public sector, demonstrating the strong engineering talent required to deploy custom enterprise AI pipelines and RAG systems. They represent a strong 'High Potential' fit for the AI Forward Deployed Engineering thesis and do not meet any exclusion criteria.",Orbis Screened,raw
CRONOS EUROPA,cronos europa,BE,Benelux,91500000.0,4600000.0,,320,6202,Unknown,False,,True,"Cronos Europa is a key entity within the prominent Belgian Cronos Group, which excels in custom software engineering, cloud architecture, and IT consultancy (NACE 6202). The parent group has a proven track record of deploying advanced technologies and has incubated specialized AI and data science ventures like Brainjar. With their deep pool of high-quality engineering talent and extensive experience delivering complex enterprise solutions, they represent an ideal 'High Potential' target capable of scaling custom AI pipelines and forward-deployed engineering services.",Orbis Screened,raw
CRONOS EUROPA LUXEMBOURG SA,cronos europa luxembourg sa,LU,Benelux,91000000.0,1800000.0,,n.v.,6202,Unknown,False,,True,"CRONOS EUROPA LUXEMBOURG SA is a highly capable IT consultancy and custom software integration firm operating within the prestigious Cronos Group ecosystem. They possess the deep technical expertise, cloud architecture capabilities, and enterprise footprint required to design and deploy custom AI pipelines and RAG systems. As a premium European systems integrator with dedicated data and AI capabilities, they represent a strong 'High Potential' fit for the Forward Deployed Engineering thesis rather than a low-value reseller or staffing agency.",Orbis Screened,raw
SEIBERT GROUP GMBH,seibert group gmbh,DE,DACH,90500000.0,7500000.0,,299,6201,Unknown,False,,True,"SEIBERT GROUP (operating largely as Seibert Media) is a leading German custom software developer, Google Cloud Premier Partner, and Atlassian Platinum Partner. They possess deep engineering expertise in cloud architecture, enterprise collaboration, and custom software development, and have increasingly integrated LLM-based features and RAG search capabilities into enterprise workspaces. They represent a High Potential target due to their strong software engineering talent pool and cloud consultancy background, making them highly capable of scaling custom AI pipeline deployments.",Orbis Screened,raw
S&N GROUP AG,s n group ag,DE,DACH,89700000.0,7800000.0,,491,6202,Unknown,False,,True,"S&N Group AG is an established IT consulting and software engineering firm specializing in complex banking and financial systems architecture. Their core competencies in digital transformation, cloud integration, and sophisticated data processing provide a strong technical foundation to support high-end AI deployment and RAG system integration. They possess the enterprise-grade engineering talent necessary to pivot toward custom AI pipeline development, making them a strong fit for our FDE investment thesis.",Orbis Screened,raw
IO BELGIUM,io belgium,BE,Benelux,87600000.0,12000000.0,,353,6201,Unknown,False,,True,IO Belgium operates as a high-end software engineering and digital transformation consultancy with a strong track record in complex system architecture. Their technical focus on custom software development and scalable cloud infrastructure provides a robust foundation for pivoting into AI-integrated workflows. They possess the required engineering sophistication to deploy the custom pipelines and enterprise-grade AI solutions central to our Forward Deployed Engineering thesis.,Orbis Screened,raw
PAUWELS CONSULTING,pauwels consulting,BE,Benelux,85400000.0,7000000.0,,445,6202,Unknown,False,,True,"Pauwels Consulting is a well-established European engineering and IT consultancy with deep expertise in software development, cloud infrastructure, and data engineering. Their existing service portfolio provides a robust foundation for pivoting into AI Forward Deployed Engineering, particularly given their capacity to manage complex technical integrations. While they operate as a broad consultancy, their high-end engineering talent pool and focus on critical enterprise projects make them a viable candidate for scaling custom AI, RAG, and agentic workflows.",Orbis Screened,raw
ROBOTRON DATENBANK-SOFTWARE GMBH,robotron datenbank software gmbh,DE,DACH,83600000.0,9000000.0,,574,6201,Unknown,False,,True,"Robotron Datenbank-Software is a sophisticated German enterprise software firm specializing in complex data management, analytics, and industrial AI solutions for the energy and utility sectors. Their deep expertise in processing large-scale, mission-critical datasets combined with their existing focus on AI-driven predictive maintenance and smart grid optimization makes them a strong candidate for an AI FDE strategy. Their engineering talent is highly technical and already deeply integrated into the operational infrastructure of their enterprise clients, providing a perfect foundation for scaling complex RAG and multi-agent AI deployments.",Orbis Screened,raw
