company_name,_name_key,country,region_bucket,revenue_eur_latest,ebitda_eur_latest,revenue_year,employees,industry_code,ownership_status,inactive,business_model_tags,source,stage_status
KOMPLEX IT A/S,komplex it a s,DK,Denmark,92609729.2428427,4675111.491162,2025,41,6202,Private,False,,Orbis,raw
MICROSOFT DEVELOPMENT CENTER COPENHAGEN APS,microsoft development center copenhagen aps,DK,Denmark,91909819.7652416,10859334.1556135,2025,316,6201,Private,False,,Orbis,raw
ISO PUBLIC SERVICES GMBH,iso public services gmbh,DE,DACH,99940804.98,5072519.76,2024,164,6201,Private,False,,Orbis,raw
SHOWPAD,showpad,BE,Benelux,99091000.0,13629000.0,2024,376,6201,Private,False,,Orbis,raw
DALUX APS,dalux aps,DK,Denmark,86836206.3177823,13268275.2052036,2025,528,6201,Private,False,,Orbis,raw
LINK MOBILITY GMBH,link mobility gmbh,DE,DACH,97570003.35,3355038.27,2024,28,6209,Private,False,,Orbis,raw
MUTUAL IT,mutual it,BE,Benelux,97047522.0,2228148.0,2024,377,6201,Private,False,,Orbis,raw
BENTELER BUSINESS SERVICES GMBH,benteler business services gmbh,DE,DACH,97005129.57000001,10143410.680000002,2024,284,6209,Private,False,,Orbis,raw
CONCENTRIX GLOBAL SERVICES GMBH,concentrix global services gmbh,DE,DACH,96825148.3,6769908.31,2024,1822,6209,Private,False,,Orbis,raw
CREALOGIX HOLDING AG,crealogix holding ag,CH,DACH,92100673.78996961,9087094.89109233,2023,383,6209,Private,False,,Orbis,raw
SEIBERT GROUP GMBH,seibert group gmbh,DE,DACH,90467195.78999999,7524093.149999999,2023,299,6201,Private,False,,Orbis,raw
BTC IT SERVICES GMBH,btc it services gmbh,DE,DACH,95669258.28999999,9268232.200000001,2024,538,6209,Private,False,,Orbis,raw
HH PRINT MANAGEMENT DEUTSCHLAND GMBH,hh print management deutschland gmbh,DE,DACH,91916797.42,4470393.2299999995,2023,121,6209,Private,False,,Orbis,raw
INTERSYSTEMS B.V.,intersystems b v,NL,Benelux,89223287.0,1134679.0,2023,293,6201,Private,False,,Orbis,raw
CAS-VOS,cas vos,BE,Benelux,91981476.0,3800756.0,2024,343,4222,Private,False,,Orbis,raw
METRIXLAB HOLDING B.V.,metrixlab holding b v,NL,Benelux,92972000.0,11238000.0,2022,929,6201,Private,False,,Orbis,raw
DAMOVO DEUTSCHLAND GMBH & CO. KG,damovo deutschland gmbh co kg,DE,DACH,92430884.14,7102691.67,2024,273,6209,Private,False,,Orbis,raw
MOBILE VIKINGS,mobile vikings,BE,Benelux,92391115.0,7025032.0,2024,93,6120,Private,False,,Orbis,raw
MARKANT SERVICES INTERNATIONAL GMBH,markant services international gmbh,DE,DACH,91611379.46,7277042.68,2024,458,6209,Private,False,,Orbis,raw
CRONOS EUROPA,cronos europa,BE,Benelux,91475523.0,4646514.0,2024,320,6202,Private,False,,Orbis,raw
CRONOS EUROPA LUXEMBOURG SA,cronos europa luxembourg sa,LU,Benelux,91032378.0,1768925.0,2024,n.v.,6202,Private,False,,Orbis,raw
HITACHI VANTARA AUSTRIA GMBH,hitachi vantara austria gmbh,AT,DACH,87214355.03,9466663.290000001,2024,58,6209,Private,False,,Orbis,raw
BAVARIA FICTION GMBH,bavaria fiction gmbh,DE,DACH,90120892.86999999,6006819.98,2024,430,6201,Private,False,,Orbis,raw
MAXON COMPUTER GMBH,maxon computer gmbh,DE,DACH,90016788.0,5534008.0,2024,176,6201,Private,False,,Orbis,raw
S&N GROUP AG,s n group ag,DE,DACH,89695000.03,7774532.28,2024,491,6202,Private,False,,Orbis,raw
OPERATOR GROEP DELFT B.V.,operator groep delft b v,NL,Benelux,89182537.0,3222987.0,2024,969,6202,Private,False,,Orbis,raw
IO BELGIUM,io belgium,BE,Benelux,87576415.0,12042642.0,2024,353,6201,Private,False,,Orbis,raw
ROBOTRON DATENBANK-SOFTWARE GMBH,robotron datenbank software gmbh,DE,DACH,83554983.27,8959868.65,2024,574,6201,Private,False,,Orbis,raw
FINANZ INFORMATIK SOLUTIONS PLUS GMBH & CO. KG,finanz informatik solutions plus gmbh co kg,DE,DACH,84761789.77,7664399.96,2022,492,6201,Private,False,,Orbis,raw
AUDATEX AUTOONLINE GMBH,audatex autoonline gmbh,DE,DACH,83155435.89999999,11587240.93,2024,72,6201,Private,False,,Orbis,raw
GWS GESELLSCHAFT FUER WARENWIRTSCHAFTS-SYSTEME MIT BESCHRAENKTER HAFTUNG,gws gesellschaft fuer warenwirtschafts systeme mit beschraenkter haftung,DE,DACH,86407318.3,3310700.09,2024,610,6201,Private,False,,Orbis,raw
ABLETON AG,ableton ag,DE,DACH,86082370.29,12253044.87,2024,478,6201,Private,False,,Orbis,raw
RIB SOFTWARE SE,rib software se,DE,DACH,86029000.0,1050000.0,2024,194,6209,Private,False,,Orbis,raw
PAUWELS CONSULTING,pauwels consulting,BE,Benelux,85398684.0,6969402.0,2024,445,6202,Private,False,,Orbis,raw
VCONSYST B.V.,vconsyst b v,NL,Benelux,85232402.0,5563189.0,2024,31,6202,Private,False,,Orbis,raw
AXA GROUP OPERATIONS GERMANY GMBH,axa group operations germany gmbh,DE,DACH,85085962.58999999,8568799.15,2024,137,6201,Private,False,,Orbis,raw
AEB SE,aeb se,DE,DACH,84291444.14999999,9620165.61,2024,581,6209,Private,False,,Orbis,raw
COLLABORATION BETTERS THE WORLD,collaboration betters the world,BE,Benelux,84065851.0,4078572.0,2024,441,6209,Private,False,,Orbis,raw
UNISYSTEMS LUXEMBOURG S.A R.L.,unisystems luxembourg s a r l,LU,Benelux,82326325.0,10763072.0,2024,n.v.,6202,Private,False,,Orbis,raw
CADFEM GERMANY GMBH,cadfem germany gmbh,DE,DACH,81542302.64999999,3477173.49,2024,188,6201,Private,False,,Orbis,raw
INFOMOTION GMBH,infomotion gmbh,DE,DACH,80056194.43,2858129.43,2024,573,6202,Private,False,,Orbis,raw
AIRITSYSTEMS GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,airitsystems gesellschaft mit beschraenkter haftung,DE,DACH,81077638.22,6242139.9799999995,2024,250,6209,Private,False,,Orbis,raw
KLA-TENCOR GMBH,kla tencor gmbh,DE,DACH,78461086.0,13954456.0,2024,181,6201,Private,False,,Orbis,raw
PARCIT GMBH,parcit gmbh,DE,DACH,79794045.82,5734587.3,2024,466,6201,Private,False,,Orbis,raw
YOUFORCE B.V.,youforce b v,NL,Benelux,79366696.0,9902019.0,2024,285,6201,Private,False,,Orbis,raw
SNAP CAMERA GMBH,snap camera gmbh,DE,DACH,78261000.0,5354000.0,2024,30,6201,Private,False,,Orbis,raw
BMW CAR IT GMBH,bmw car it gmbh,DE,DACH,78170519.13,1082301.75,2024,287,6201,Private,False,,Orbis,raw
SIMAC,simac,BE,Benelux,78117786.0,1873962.0,2024,171,4222,Private,False,,Orbis,raw
SWORD TECHNOLOGIES S.A.,sword technologies s a,LU,Benelux,78014008.0,3825935.0,2024,n.v.,6201,Private,False,,Orbis,raw
SCALIAN GERMANY AKTIENGESELLSCHAFT,scalian germany aktiengesellschaft,DE,DACH,77399398.95,9237381.41,2024,698,6202,Private,False,,Orbis,raw
MSG FOR AUTOMOTIVE GMBH,msg for automotive gmbh,DE,DACH,77260066.97,3011921.22,2024,470,6201,Private,False,,Orbis,raw
DSA DATEN- UND SYSTEMTECHNIK GMBH,dsa daten und systemtechnik gmbh,DE,DACH,77061658.03,6115867.77,2024,293,6201,Private,False,,Orbis,raw
KUMAVISION AG,kumavision ag,DE,DACH,72384938.52,4141506.77,2023,418,6201,Private,False,,Orbis,raw
ENDAVA GMBH,endava gmbh,DE,DACH,74694105.67,5766146.59,2024,165,6201,Private,False,,Orbis,raw
TECHNO1,techno1,BE,Benelux,76123492.0,3001223.0,2024,n.v.,4740,Private,False,,Orbis,raw
DATAGROUP BUSINESS SOLUTIONS GMBH,datagroup business solutions gmbh,DE,DACH,69977884.669,6854171.2,2024,197,6202,Private,False,,Orbis,raw
SINC GMBH,sinc gmbh,DE,DACH,70837214.20899999,7470996.680000001,2023,294,6201,Private,False,,Orbis,raw
EYEO GMBH,eyeo gmbh,DE,DACH,73362188.66,5621194.1,2022,171,6201,Private,False,,Orbis,raw
CGI DANMARK A/S,cgi danmark a s,DK,Denmark,65467326.627778694,7204220.42302333,2025,330,6202,Private,False,,Orbis,raw
CAPGEMINI DEUTSCHLAND SERVICES GMBH,capgemini deutschland services gmbh,DE,DACH,73874692.66,14035391.709999999,2024,461,6201,Private,False,,Orbis,raw
DATAGROUP HAMBURG GMBH,datagroup hamburg gmbh,DE,DACH,68521025.729,7046291.47,2024,295,6209,Private,False,,Orbis,raw
LESSMORE GMBH,lessmore gmbh,DE,DACH,73728357.46,14534273.709999999,2024,17,6201,Private,False,,Orbis,raw
AGILENT TECHNOLOGIES BELGIUM,agilent technologies belgium,BE,Benelux,65785407.99999999,4889551.0,2025,102,4618,Private,False,,Orbis,raw
CERNER HEALTH SERVICES DEUTSCHLAND GMBH,cerner health services deutschland gmbh,DE,DACH,68678674.19999999,4504698.42,2023,283,6201,Private,False,,Orbis,raw
COMARCH AKTIENGESELLSCHAFT,comarch aktiengesellschaft,DE,DACH,72974545.13,4836985.21,2024,242,6201,Private,False,,Orbis,raw
MINDCURV GROUP GMBH,mindcurv group gmbh,DE,DACH,68541217.199,9024326.16,2023,724,6201,Private,False,,Orbis,raw
"ITERATEC GMBH, NIEDERLASSUNG OESTERREICH",iteratec gmbh niederlassung oesterreich,AT,DACH,68491453.86,6412498.34,2023,n.v.,6209,Private,False,,Orbis,raw
E:FS TECHHUB GMBH,e fs techhub gmbh,DE,DACH,71877782.19,3599399.89,2024,539,6201,Private,False,,Orbis,raw
TECHNIA GMBH,technia gmbh,DE,DACH,71802274.1,6109514.36,2024,193,6202,Private,False,,Orbis,raw
DATAGROUP OPERATIONS GMBH,datagroup operations gmbh,DE,DACH,66585439.16,6598168.15,2024,259,6209,Private,False,,Orbis,raw
ZF DIGITAL SOLUTIONS INTERNATIONAL,zf digital solutions international,BE,Benelux,71559811.0,14899772.0,2024,182,6201,Private,False,,Orbis,raw
COGNIZANT TECHNOLOGY SOLUTIONS BELGIUM,cognizant technology solutions belgium,BE,Benelux,71158055.0,6778673.0,2024,285,6202,Private,False,,Orbis,raw
FIS INFORMATIONSSYSTEME UND CONSULTING GMBH,fis informationssysteme und consulting gmbh,DE,DACH,71103989.71,5026060.79,2024,564,6202,Private,False,,Orbis,raw
ALTAIR ENGINEERING GMBH,altair engineering gmbh,DE,DACH,70862655.71000001,4488258.8,2024,285,6201,Private,False,,Orbis,raw
UNIT IT HOLDING A/S,unit it holding a s,DK,Denmark,64665689.7966156,5442780.19030236,2025,244,6202,Private,False,,Orbis,raw
UBISOFT BLUE BYTE GMBH,ubisoft blue byte gmbh,DE,DACH,67773790.04,5363157.930000001,2023,701,6201,Private,False,,Orbis,raw
IHK GESELLSCHAFT FUER INFORMATIONSVERARBEITUNG MBH,ihk gesellschaft fuer informationsverarbeitung mbh,DE,DACH,69941412.06899999,5144078.58,2024,350,6209,Private,False,,Orbis,raw
ACP IT SOLUTIONS AG,acp it solutions ag,DE,DACH,66897284.92,3554968.38,2024,193,6209,Private,False,,Orbis,raw
WORKDAY GMBH,workday gmbh,DE,DACH,69559518.6,4608438.84,2024,291,6201,Private,False,,Orbis,raw
4FLOW SE,4flow se,DE,DACH,69441507.69,1224650.48,2024,397,6201,Private,False,,Orbis,raw
CHARGECLOUD GMBH,chargecloud gmbh,DE,DACH,69075669.67,1276395.25,2024,144,6209,Private,False,,Orbis,raw
"MPDV MIKROLAB GMBH, MIKROPROZESSORDATENVERARBEITUNG UND MIKROPROZESSORLABOR",mpdv mikrolab gmbh mikroprozessordatenverarbeitung und mikroprozessorlabor,DE,DACH,68965111.06,12406105.0,2024,325,6201,Private,False,,Orbis,raw
GE VERNOVA ELECTRIFICATION SOFTWARE GERMANY GMBH,ge vernova electrification software germany gmbh,DE,DACH,68756313.03999999,8499329.55,2024,39,6201,Private,False,,Orbis,raw
CIRCET BELGIUM,circet belgium,BE,Benelux,68229651.0,6081615.0,2024,361,4321,Private,False,,Orbis,raw
S.O.N.J.A.,s o n j a,BE,Benelux,68198801.0,3856605.0,2024,34,5224,Private,False,,Orbis,raw
NOMIOS NETHERLANDS B.V.,nomios netherlands b v,NL,Benelux,66016520.00000001,7014936.0,2022,80,6202,Private,False,,Orbis,raw
PAUWELS ENGINEERING,pauwels engineering,BE,Benelux,64797000.0,2847000.0,2024,214,4638,Private,False,,Orbis,raw
VITROCONNECT GMBH,vitroconnect gmbh,DE,DACH,67281363.52,9572422.350000001,2024,95,6209,Private,False,,Orbis,raw
FINCON REPLY GMBH,fincon reply gmbh,DE,DACH,66995824.699999996,3019041.38,2024,426,6202,Private,False,,Orbis,raw
OPTIMAL SYSTEMS GMBH,optimal systems gmbh,DE,DACH,63996864.81,6364479.31,2022,555,6201,Private,False,,Orbis,raw
SEVEN PRINCIPLES AG,seven principles ag,DE,DACH,66858000.0,2199000.0,2024,356,6209,Public,False,,Orbis,raw
ALTAIR ENGINEERING GMBH ZWEIGNIEDERLASSUNG OESTERREICH,altair engineering gmbh zweigniederlassung oesterreich,AT,DACH,65082378.49,5196853.03,2022,n.v.,6209,Private,False,,Orbis,raw
GITLAB GMBH,gitlab gmbh,DE,DACH,66670204.69,1784969.73,2024,146,6201,Private,False,,Orbis,raw
WILKEN GMBH,wilken gmbh,DE,DACH,66598397.24,3761903.73,2024,429,6202,Private,False,,Orbis,raw
IT FOR INTELLECTUAL PROPERTY MANAGEMENT GMBH,it for intellectual property management gmbh,DE,DACH,66445046.0,1526279.0,2024,173,6209,Private,False,,Orbis,raw
JIMDO GMBH,jimdo gmbh,DE,DACH,66024445.470000006,12913264.68,2024,173,6209,Private,False,,Orbis,raw
USU GMBH,usu gmbh,DE,DACH,63797555.47,6627162.33,2024,411,6202,Private,False,,Orbis,raw
MIC-DATENVERARBEITUNG GESELLSCHAFT M.B.H.,mic datenverarbeitung gesellschaft m b h,AT,DACH,65699405.419999994,6912798.97,2024,444,6209,Private,False,,Orbis,raw
TRIMBLE SERVICES GMBH,trimble services gmbh,DE,DACH,61613224.94,3179552.23,2023,379,6201,Private,False,,Orbis,raw
SYZYGY AG,syzygy ag,DE,DACH,57891000.0,2547000.0,2025,506,6201,Public,False,,Orbis,raw
LISAM EHS SOFTWARE,lisam ehs software,BE,Benelux,65201000.0,6273000.0,2024,481,6201,Private,False,,Orbis,raw
SCHEER GMBH,scheer gmbh,DE,DACH,65035184.19,2815611.24,2024,328,6202,Private,False,,Orbis,raw
DATAGROUP RHEIN-MAIN GMBH,datagroup rhein main gmbh,DE,DACH,60148572.96,9258400.26,2024,332,6202,Private,False,,Orbis,raw
VANDERLANDE LOGISTICS GMBH,vanderlande logistics gmbh,DE,DACH,59211169.33,9789820.91,2025,364,6209,Private,False,,Orbis,raw
THUEGA SMARTSERVICE GMBH,thuega smartservice gmbh,DE,DACH,64669914.57,7462215.1899999995,2024,294,6209,Private,False,,Orbis,raw
SNOWFLAKE COMPUTING GMBH,snowflake computing gmbh,DE,DACH,64596605.41,4470977.5,2024,267,6201,Private,False,,Orbis,raw
CIPAL,cipal,BE,Benelux,64232000.0,8138000.0,2024,23,6202,Private,False,,Orbis,raw
BAUER GLOBAL TECHNOLOGY GMBH,bauer global technology gmbh,DE,DACH,63893802.48,3238743.5799999996,2024,26,6209,Private,False,,Orbis,raw
