merged_id,company_name,country,region_bucket,revenue_eur_latest,ebitda_eur_latest,revenue_year,employees,industry_code,ownership_status,inactive,business_model_tags,source,duplicate_match_type,data_discrepancy_flag,data_discrepancy_note,stage_status,ai_fde_match_prior,description,hf_region,hf_revenue,hf_ebitda,hf_business_model,hard_filter_status
cbb7d812fe34,innFactory,DE,DACH,,,,26,,Unknown,False,,v1 Longlist,,,,hard_filter_margin,Unscreened,"LLM integration, RAG, AI development, CompanyGPT",PASS,MARGIN_FLAG,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
dd18246e8def,INNOQ,DE,DACH,24500000.0,,,155,,Unknown,False,,vh-longlist,,,,hard_filter_margin,Unscreened,"INNOQ offers a dedicated suite of Data & AI services. They assist businesses with strategy, architecture, and implementation to integrate AI into existing systems. [1, 2, 3, 4]",PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
b47581c5bba3,Notch,DE,DACH,20000000.0,,,,,Unknown,False,,v1 Longlist,,,,hard_filter_margin,Unscreened,AI-driven digital products and platforms,PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
fb9f7d6e5289,Nine A/S (Nine Denmark),DK,Denmark,18900000.0,,,,,Unknown,False,,v1 Longlist,,,,hard_filter_margin,Unscreened,"Cloud, data and AI solutions",PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
8dd173c38283,Dataroots,BE,Benelux,15900000.0,,,,,Unknown,False,,v1 Longlist,,,,hard_filter_margin,Unscreened,"ML engineering, MLOps, data platforms",PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
09f36ebf77d7,ML6,BE,Benelux,15100000.0,,,135-150,,Unknown,False,,vh-longlist,,,,hard_filter_margin,Unscreened,"ML6 is an AI-native engineering firm that specializes in artificial intelligence, machine learning, and agentic AI services.",PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
3d163e355d93,Merantix Momentum,DE,DACH,13500000.0,,,50-60,,Unknown,False,,vh-longlist,,,,hard_filter_margin,Unscreened,"Merantix Momentum offers a wide range of AI services, acting as an end-to-end partner for machine learning and AI. They support companies from the initial identification of use cases to the development, deployment, and operation of custom AI solutions. [1, 2, 3]",PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
79aa7c6be7c8,ConSol AI,DE,DACH,24800000.0,,,,,Unknown,False,,v1 Longlist,,,,hard_filter_margin,Unscreened,Data protection-compliant GenAI consulting and implementation based on open-source tech,PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
dcfdfaa18df3,Spread,DE,DACH,12700000.0,,,,,Unknown,False,,v1 Longlist,,,,hard_filter_margin,Unscreened,Digital twin / knowledge graph for engineering data and workflows,PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
2dfda97b76fb,DEUS AI,NL,Benelux,12500000.0,,,,,Unknown,False,,v1 Longlist,,,,hard_filter_margin,Unscreened,"AI strategy, deep learning, data science",PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
6eec3e5c4ce7,2021.AI,DK,Denmark,12000000.0,,,100,,Unknown,False,,vh-longlist,,,,hard_filter_margin,Unscreened,"2021.AI offers a comprehensive suite of AI solutions and services, focusing heavily on enterprise AI, responsible implementation, and model governance. [1, 2]",PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
4040cc6c3b1c,lise GmbH,DE,DACH,12000000.0,,,,,Unknown,False,,v1 Longlist,,,,hard_filter_margin,Unscreened,"Custom software development, AI solutions and digital strategy",PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
8d4199374550,Instinctools GmbH,DE,DACH,11500000.0,,,,,Unknown,False,,v1 Longlist,,,,hard_filter_margin,Unscreened,"Custom software, data platforms, analytics and cloud",PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
1af620bfa9df,Bit by Bit,NL,Benelux,11500000.0,,,,,Unknown,False,,v1 Longlist,,,,hard_filter_margin,Unscreened,"AI automation, ML models",PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
ea7b627f52de,Realtech AG,DE,DACH,11200000.0,200000.0,,69,,Unknown,False,,vh-longlist,,,,hard_filter_fail,Unscreened,"Mit dem REALTECH aiLAB schließen Sie die Lücke zwischen KI-Theorie und echtem Business-Mehrwert. Es schafft einen praktischen Rahmen, um KI-Potentiale zu identifizieren, vielversprechende Use Cases zu validieren und schnell in die Praxis zu überführen.",PASS,PASS,FAIL,MARGIN_FLAG,hard_filter_fail
0b62813124f9,OTRS AG,DE,DACH,12600000.0,-200000.0,,95,,Unknown,False,,vh-longlist,,,,hard_filter_fail,Unscreened,"OTRS AI Services extend your service organization with intelligent automation and decision support. They help service teams reduce manual effort, accelerate response times and improve service quality without losing control or transparency.",PASS,PASS,FAIL,MARGIN_FLAG,hard_filter_fail
19c3ce3e879f,Talkwalker AI (services arm),LU,Benelux,25400000.0,,,500,,Unknown,False,,v1 Longlist,,,,hard_filter_margin,Unscreened,AI-powered social listening and analytics with services,PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
de51e022b7a1,Crunch Data,NL,Benelux,30000000.0,,,,,Unknown,False,,v1 Longlist,,,,hard_filter_margin,Unscreened,"Analytics, AI solutions",PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
731e35cce112,Intership Communications AG,DE,DACH,33700000.0,700000.0,,224,,Unknown,False,,vh-longlist,,,,hard_filter_fail,Unscreened,"Intershop Communications AG offers a wide range of AI services and tools built natively into the Intershop Commerce Platform. They specialize in B2B autonomous and conversational commerce, utilizing AI copilots and autonomous agents. [1, 2, 3]",PASS,PASS,FAIL,MARGIN_FLAG,hard_filter_fail
125a18149502,Reply (Data Reply / Machine Learning Reply),IT,Other,2480000000.0,467600000.0,,,,Unknown,False,,v1 Longlist,,,,hard_filter_fail,Unscreened,"Data & AI consulting, ML engineering",FAIL,FAIL,FAIL,MARGIN_FLAG,hard_filter_fail
721c655ac442,Valtech (Data & AI),FR,Adjacent,1300000000.0,,,,,Unknown,False,,v1 Longlist,,,,hard_filter_fail,Unscreened,Digital engineering & AI,MARGIN_FLAG,FAIL,MARGIN_FLAG,MARGIN_FLAG,hard_filter_fail
de52c287ad40,Bell Integration (Nordics AI),UK,Other,1000000000.0,,,,,Unknown,False,,v1 Longlist,,,,hard_filter_fail,Unscreened,"AI consulting, AIaaS, managed services",FAIL,FAIL,MARGIN_FLAG,MARGIN_FLAG,hard_filter_fail
bfdf1b943b5b,Andersen Germany GmbH,DE,DACH,838700000.0,,,,,Unknown,False,,v1 Longlist,,,,hard_filter_fail,Unscreened,"Custom software development, IT consulting, including AI and data solutions",PASS,FAIL,MARGIN_FLAG,MARGIN_FLAG,hard_filter_fail
500c18f22f7a,Camunda,DE,DACH,101700000.0,,,560,,Unknown,False,,vh-longlist,,,,hard_filter_margin,Unscreened,Camunda offers robust AI services directly integrated into its process orchestration platform. . Their AI features are primarily designed to combine the flexibility of generative AI with the reliability of traditional enterprise workflow automation.,PASS,MARGIN_FLAG,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
83d375c136b0,Zoi TechCon GmbH,DE,DACH,74700000.0,,,500,,Unknown,False,,vh-longlist,,,,hard_filter_margin,Unscreened,"Zoi offers extensive AI services. As a technology consulting and IT transformation firm, they specialize in scaling and implementing AI solutions to connect systems, automate workflows, and drive business value",PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
023b9aa45aed,Seven Principles Group,DE,DACH,60200000.0,2500000.0,,333,,Unknown,False,,vh-longlist,,,,hard_filter_margin,Unscreened,"With AI for Enterprise, 7P provides services for companies that want to operate sovereign, auditable AI applications. The solutions are cloud-independent, legally documented and tested for robustness, hallucination risks and data protection compliance.",PASS,PASS,PASS,MARGIN_FLAG,hard_filter_margin
33cd4378cbe4,codecentric AG,DE,DACH,60000000.0,,,600,,Unknown,False,,vh-longlist,,,,hard_filter_margin,Unscreened,codecentric AG offers comprehensive AI services ranging from strategy consulting to software implementation.,PASS,PASS,MARGIN_FLAG,MARGIN_FLAG,hard_filter_margin
